2014,AZ,Closed by arrest,58
2014,AZ,Closed without arrest,10
2014,AZ,Open/No arrest,49
2014,CA,Closed by arrest,332
2014,CA,Closed without arrest,12
2014,CA,Open/No arrest,265
2014,CO,Closed by arrest,11
2014,CO,Closed without arrest,5
2014,CO,Open/No arrest,15
2014,DC,Closed by arrest,58
2014,DC,Closed without arrest,4
2014,DC,Open/No arrest,43
2014,FL,Closed by arrest,91
2014,FL,Closed without arrest,24
2014,FL,Open/No arrest,96
2014,GA,Closed by arrest,62
2014,GA,Closed without arrest,6
2014,GA,Open/No arrest,50
2014,IL,Closed by arrest,125
2014,IL,Closed without arrest,24
2014,IL,Open/No arrest,269
2014,IN,Closed by arrest,78
2014,IN,Closed without arrest,10
2014,IN,Open/No arrest,50
2014,KY,Closed by arrest,42
2014,KY,Open/No arrest,16
2014,LA,Closed by arrest,81
2014,LA,Closed without arrest,19
2014,LA,Open/No arrest,115
2014,MA,Closed by arrest,29
2014,MA,Open/No arrest,26
2014,MD,Closed by arrest,86
2014,MD,Closed without arrest,13
2014,MD,Open/No arrest,112
2014,MI,Closed by arrest,152
2014,MI,Open/No arrest,142
2014,MN,Closed by arrest,17
2014,MN,Closed without arrest,5
2014,MN,Open/No arrest,11
2014,MO,Closed by arrest,117
2014,MO,Closed without arrest,6
2014,MO,Open/No arrest,118
2014,NC,Closed by arrest,47
2014,NC,Closed without arrest,2
2014,NC,Open/No arrest,17
2014,NE,Closed by arrest,23
2014,NE,Closed without arrest,1
2014,NE,Open/No arrest,8
2014,NM,Closed by arrest,20
2014,NM,Closed without arrest,2
2014,NM,Open/No arrest,6
2014,NV,Closed by arrest,85
2014,NV,Closed without arrest,10
2014,NV,Open/No arrest,29
2014,NY,Closed by arrest,20
2014,NY,Closed without arrest,2
2014,NY,Open/No arrest,41
2014,OH,Closed by arrest,76
2014,OH,Closed without arrest,18
2014,OH,Open/No arrest,59
2014,OK,Closed by arrest,56
2014,OK,Closed without arrest,6
2014,OK,Open/No arrest,31
2014,PA,Closed by arrest,155
2014,PA,Closed without arrest,8
2014,PA,Open/No arrest,157
2014,TN,Closed by arrest,113
2014,TN,Closed without arrest,9
2014,TN,Open/No arrest,58
